id,original_title,original_language,genre,budget,revenue,popularity,release_date,runtime,vote_average,vote_count,title
280092,Insidious: Chapter 3,en,Drama,10000000,104303851,45.946524,2015-06-04,97,6.2,983,Insidious: Chapter 3
13938,The Last Dragon,en,Action,10000000,25754284,4.928777,1985-03-22,108,6.4,69,The Last Dragon
10163,The Lawnmower Man,en,Horror,10000000,32101000,10.125029,1992-03-05,108,5.4,197,The Lawnmower Man
12182,Nick and Norah's Infinite Playlist,en,Comedy,9000000,32973937,20.452449,2008-10-03,89,6.4,379,Nick and Norah's Infinite Playlist
1832,Dogma,en,Fantasy,10000000,30652890,14.543435,1999-11-12,130,6.8,823,Dogma
9034,The Banger Sisters,en,Comedy,10000000,0,6.015354,2002-09-20,98,5.5,62,The Banger Sisters
15301,Twilight Zone: The Movie,en,Drama,10000000,29450919,12.902975,1983-06-24,101,6.2,161,Twilight Zone: The Movie
10135,Road House,en,Action,15000000,30050028,6.216203,1989-05-19,114,6.3,252,Road House
26352,A Low Down Dirty Shame,en,Action,10000000,29392418,3.290639,1994-11-23,100,6,31,A Low Down Dirty Shame
20616,Swimfan,en,Drama,8500000,34411240,4.844451,2002-09-06,84,5,70,Swimfan
9794,Employee of the Month,en,Comedy,12000000,38368909,9.559737,2006-10-06,103,5.3,153,Employee of the Month
15037,Can't Hardly Wait,en,Comedy,10000000,25605015,11.350382,1998-06-12,100,6.1,122,Can't Hardly Wait
227,The Outsiders,en,Crime,10000000,33697647,13.455373,1983-03-25,91,6.9,291,The Outsiders
294272,Pete's Dragon,en,Adventure,65000000,143695338,31.974359,2016-08-10,102,6.2,679,Pete's Dragon
11336,The Dead Zone,en,Horror,10000000,20766616,16.78512,1983-10-21,103,6.9,311,The Dead Zone
283445,Sinister 2,en,Horror,10000000,52882018,26.090495,2015-08-19,97,5.4,581,Sinister 2
88036,Sparkle,en,Drama,14000000,24637469,2.698185,2012-08-17,116,5.8,36,Sparkle
10984,Valentine,en,Horror,0,0,5.904126,2001-02-01,96,5,114,Valentine
22824,The Fourth Kind,en,Mystery,10000000,42333295,22.888173,2009-11-06,98,5.8,441,The Fourth Kind
9526,A Prairie Home Companion,en,Drama,10000000,0,5.025446,2006-06-09,105,6.4,81,A Prairie Home Companion
39349,Sugar Hill,en,Drama,0,0,2.580808,1994-02-25,123,5.2,13,Sugar Hill
15983,Invasion U.S.A.,en,Action,0,0,4.192064,1985-09-27,107,5.3,49,Invasion U.S.A.
14544,Roll Bounce,en,Comedy,0,0,2.596338,2005-09-23,112,6.1,27,Roll Bounce
11545,Rushmore,en,Comedy,9000000,17096053,18.289303,1998-09-17,93,7.5,676,Rushmore
42684,Skyline,en,Science Fiction,10000000,66821036,26.268209,2010-11-11,100,4.7,507,Skyline
268238,The Second Best Exotic Marigold Hotel,en,Drama,10000000,85978266,17.592299,2015-02-26,122,6.3,272,The Second Best Exotic Marigold Hotel
8359,Kit Kittredge: An American Girl,en,Comedy,0,0,6.27141,2008-07-02,101,6.4,34,Kit Kittredge: An American Girl
15648,The Perfect Man,en,Comedy,0,0,11.158906,2005-06-17,100,5.5,203,The Perfect Man
41823,Mo' Better Blues,en,Drama,10000000,16153593,3.079862,1990-08-03,129,6.3,47,Mo' Better Blues
11891,Kung Pow: Enter the Fist,en,Action,0,0,8.288813,2002-01-25,81,6.1,159,Kung Pow: Enter the Fist
9362,Tremors,en,Action,11000000,48572000,32.579697,1990-01-19,96,6.6,864,Tremors
9902,Wrong Turn,en,Horror,12600000,28650575,33.555764,2003-05-30,84,6,635,Wrong Turn
14729,The Long Riders,en,Western,10000000,15795189,2.959547,1980-05-12,99,6.6,50,The Long Riders
9455,The Corruptor,en,Action,25000000,15156200,4.068107,1999-03-12,110,6,57,The Corruptor
103731,Mud,en,Drama,10000000,21587700,17.663353,2013-05-01,130,7,1068,Mud
10090,Reno 911!: Miami,en,Action,10000000,20342161,4.207456,2007-02-23,84,5.6,72,Reno 911!: Miami
164558,One Direction: This Is Us,en,Documentary,10000000,0,7.944457,2013-08-28,92,8,201,One Direction: This Is Us
