id,original_title,original_language,genre,budget,revenue,popularity,release_date,runtime,vote_average,vote_count,title
19995,Avatar,en,Action,237000000,2787965087,150.437577,2009-12-10,162,7.2,11800,Avatar
285,Pirates of the Caribbean: At World's End,en,Adventure,300000000,961000000,139.082615,2007-05-19,169,6.9,4500,Pirates of the Caribbean: At World's End
206647,Spectre,en,Action,245000000,880674609,107.376788,2015-10-26,148,6.3,4466,Spectre
49026,The Dark Knight Rises,en,Action,250000000,1084939099,112.31295,2012-07-16,165,7.6,9106,The Dark Knight Rises
49529,John Carter,en,Action,260000000,284139100,43.926995,2012-03-07,132,6.1,2124,John Carter
559,Spider-Man 3,en,Fantasy,258000000,890871626,115.699814,2007-05-01,139,5.9,3576,Spider-Man 3
38757,Tangled,en,Animation,260000000,591794936,48.681969,2010-11-24,100,7.4,3330,Tangled
99861,Avengers: Age of Ultron,en,Action,280000000,1405403694,134.279229,2015-04-22,141,7.3,6767,Avengers: Age of Ultron
767,Harry Potter and the Half-Blood Prince,en,Adventure,250000000,933959197,98.885637,2009-07-07,153,7.4,5293,Harry Potter and the Half-Blood Prince
209112,Batman v Superman: Dawn of Justice,en,Action,250000000,873260194,155.790452,2016-03-23,151,5.7,7004,Batman v Superman: Dawn of Justice
1452,Superman Returns,en,Adventure,270000000,391081192,57.925623,2006-06-28,154,5.4,1400,Superman Returns
10764,Quantum of Solace,en,Adventure,200000000,586090727,107.928811,2008-10-30,106,6.1,2965,Quantum of Solace
58,Pirates of the Caribbean: Dead Man's Chest,en,Adventure,200000000,1065659812,145.847379,2006-06-20,151,7,5246,Pirates of the Caribbean: Dead Man's Chest
57201,The Lone Ranger,en,Action,255000000,89289910,49.046956,2013-07-03,149,5.9,2311,The Lone Ranger
49521,Man of Steel,en,Action,225000000,662845518,99.398009,2013-06-12,143,6.5,6359,Man of Steel
2454,The Chronicles of Narnia: Prince Caspian,en,Adventure,225000000,419651413,53.978602,2008-05-15,150,6.3,1630,The Chronicles of Narnia: Prince Caspian
24428,The Avengers,en,Science Fiction,220000000,1519557910,144.448633,2012-04-25,143,7.4,11776,The Avengers
1865,Pirates of the Caribbean: On Stranger Tides,en,Adventure,380000000,1045713802,135.413856,2011-05-14,136,6.4,4948,Pirates of the Caribbean: On Stranger Tides
41154,Men in Black 3,en,Action,225000000,624026776,52.035179,2012-05-23,106,6.2,4160,Men in Black 3
122917,The Hobbit: The Battle of the Five Armies,en,Action,250000000,956019788,120.965743,2014-12-10,144,7.1,4760,The Hobbit: The Battle of the Five Armies
1930,The Amazing Spider-Man,en,Action,215000000,752215857,89.866276,2012-06-27,136,6.5,6586,The Amazing Spider-Man
20662,Robin Hood,en,Action,200000000,310669540,37.668301,2010-05-12,140,6.2,1398,Robin Hood
57158,The Hobbit: The Desolation of Smaug,en,Adventure,250000000,958400000,94.370564,2013-12-11,161,7.6,4524,The Hobbit: The Desolation of Smaug
2268,The Golden Compass,en,Adventure,180000000,372234864,42.990906,2007-12-04,113,5.8,1303,The Golden Compass
254,King Kong,en,Adventure,207000000,550000000,61.22601,2005-12-14,187,6.6,2337,King Kong
597,Titanic,en,Drama,200000000,1845034188,100.025899,1997-11-18,194,7.5,7562,Titanic
271110,Captain America: Civil War,en,Adventure,250000000,1153304495,198.372395,2016-04-27,147,7.1,7241,Captain America: Civil War
44833,Battleship,en,Thriller,209000000,303025485,64.928382,2012-04-11,131,5.5,2114,Battleship
135397,Jurassic World,en,Action,150000000,1513528810,418.708552,2015-06-09,124,6.5,8662,Jurassic World
37724,Skyfall,en,Action,200000000,1108561013,93.004993,2012-10-25,143,6.9,7604,Skyfall
558,Spider-Man 2,en,Action,200000000,783766341,35.149586,2004-06-25,127,6.7,4321,Spider-Man 2
68721,Iron Man 3,en,Action,200000000,1215439994,77.68208,2013-04-18,130,6.8,8806,Iron Man 3
12155,Alice in Wonderland,en,Family,200000000,1025491110,78.530105,2010-03-03,108,6.4,4645,Alice in Wonderland
36668,X-Men: The Last Stand,en,Adventure,210000000,459359555,3.857526,2006-05-24,104,6.3,3525,X-Men: The Last Stand
62211,Monsters University,en,Animation,200000000,743559607,89.186492,2013-06-20,104,7,3528,Monsters University
8373,Transformers: Revenge of the Fallen,en,Science Fiction,150000000,836297228,21.939663,2009-06-19,150,6,3138,Transformers: Revenge of the Fallen
91314,Transformers: Age of Extinction,en,Science Fiction,210000000,1091405097,116.840296,2014-06-25,165,5.8,3095,Transformers: Age of Extinction
68728,Oz: The Great and Powerful,en,Fantasy,200000000,491868548,46.985445,2013-03-07,130,5.7,3530,Oz: The Great and Powerful
102382,The Amazing Spider-Man 2,en,Action,200000000,705717432,89.270217,2014-04-16,142,6.5,4179,The Amazing Spider-Man 2
20526,TRON: Legacy,en,Adventure,170000000,400062763,73.79505,2010-12-10,125,6.3,2841,TRON: Legacy
49013,Cars 2,en,Animation,200000000,559852396,49.98659,2011-06-11,106,5.8,2033,Cars 2
44912,Green Lantern,en,Adventure,200000000,219851172,51.872839,2011-06-16,114,5.1,2487,Green Lantern
10193,Toy Story 3,en,Animation,200000000,1066969703,59.995418,2010-06-16,103,7.6,4597,Toy Story 3
534,Terminator Salvation,en,Action,200000000,371353001,71.862892,2009-05-20,115,5.9,2463,Terminator Salvation
168259,Furious 7,en,Action,190000000,1506249360,102.322217,2015-04-01,137,7.3,4176,Furious 7
72190,World War Z,en,Action,200000000,531865000,81.834855,2013-06-20,116,6.7,5560,World War Z
127585,X-Men: Days of Future Past,en,Action,250000000,747862775,118.078691,2014-05-15,131,7.5,6032,X-Men: Days of Future Past
54138,Star Trek Into Darkness,en,Action,190000000,467365246,78.291018,2013-05-05,132,7.4,4418,Star Trek Into Darkness
81005,Jack the Giant Slayer,en,Action,195000000,197687603,43.349855,2013-02-27,114,5.5,2598,Jack the Giant Slayer
64682,The Great Gatsby,en,Drama,105000000,351040419,61.196071,2013-05-10,143,7.3,3769,The Great Gatsby
9543,Prince of Persia: The Sands of Time,en,Adventure,150000000,335154643,62.169881,2010-05-19,116,6.2,2317,Prince of Persia: The Sands of Time
68726,Pacific Rim,en,Action,180000000,407602906,56.523205,2013-07-11,131,6.7,4794,Pacific Rim
38356,Transformers: Dark of the Moon,en,Action,195000000,1123746996,28.529607,2011-06-28,154,6.1,3299,Transformers: Dark of the Moon
217,Indiana Jones and the Kingdom of the Crystal Skull,en,Adventure,185000000,786636033,75.674458,2008-05-21,122,5.7,2495,Indiana Jones and the Kingdom of the Crystal Skull
105864,The Good Dinosaur,en,Adventure,175000000,331926147,51.692953,2015-11-14,93,6.6,1736,The Good Dinosaur
62177,Brave,en,Animation,185000000,538983207,125.114374,2012-06-21,93,6.7,4641,Brave
188927,Star Trek Beyond,en,Action,185000000,343471816,65.352913,2016-07-07,122,6.6,2568,Star Trek Beyond
10681,WALL·E,en,Animation,180000000,521311860,66.390712,2008-06-22,98,7.8,6296,WALL·E
5174,Rush Hour 3,en,Action,140000000,258022233,22.57178,2007-08-08,91,6.1,783,Rush Hour 3
14161,2012,en,Action,200000000,769653595,45.274225,2009-10-10,158,5.6,4903,2012
17979,A Christmas Carol,en,Animation,200000000,325233863,39.744242,2009-11-04,96,6.6,1095,A Christmas Carol
76757,Jupiter Ascending,en,Science Fiction,176000003,183987723,85.36908,2015-02-04,124,5.2,2768,Jupiter Ascending
258489,The Legend of Tarzan,en,Action,180000000,356743061,42.741719,2016-06-29,109,5.5,2430,The Legend of Tarzan
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,Adventure,180000000,748806957,67.391328,2005-12-07,143,6.7,2629,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
246655,X-Men: Apocalypse,en,Science Fiction,178000000,543934787,139.272042,2016-05-18,144,6.4,4721,X-Men: Apocalypse
155,The Dark Knight,en,Drama,185000000,1004558444,187.322927,2008-07-16,152,8.2,12002,The Dark Knight
14160,Up,en,Animation,175000000,735099082,92.201962,2009-05-13,96,7.7,6870,Up
15512,Monsters vs Aliens,en,Animation,175000000,381509870,36.167578,2009-03-19,94,6,1423,Monsters vs Aliens
1726,Iron Man,en,Action,140000000,585174222,120.725053,2008-04-30,126,7.4,8776,Iron Man
44826,Hugo,en,Adventure,170000000,185770160,32.319043,2011-11-22,126,7,2141,Hugo
8487,Wild Wild West,en,Action,170000000,222104681,40.748915,1999-06-29,106,5.1,1020,Wild Wild West
1735,The Mummy: Tomb of the Dragon Emperor,en,Adventure,145000000,401128639,60.034162,2008-07-01,112,5.2,1387,The Mummy: Tomb of the Dragon Emperor
297761,Suicide Squad,en,Action,175000000,745000000,90.23792,2016-08-02,123,5.9,7458,Suicide Squad
2698,Evan Almighty,en,Fantasy,175000000,173000000,27.082182,2007-06-09,96,5.3,1151,Evan Almighty
137113,Edge of Tomorrow,en,Action,178000000,370541256,79.456485,2014-05-27,113,7.6,4858,Edge of Tomorrow
9804,Waterworld,en,Adventure,175000000,264218220,44.640292,1995-07-28,135,5.9,992,Waterworld
14869,G.I. Joe: The Rise of Cobra,en,Adventure,175000000,302469017,32.852443,2009-08-04,118,5.6,1962,G.I. Joe: The Rise of Cobra
150540,Inside Out,en,Drama,175000000,857611174,128.655964,2015-06-09,94,8,6560,Inside Out
278927,The Jungle Book,en,Family,175000000,966550600,94.199316,2016-04-07,106,6.7,2892,The Jungle Book
10138,Iron Man 2,en,Adventure,200000000,623933331,77.300194,2010-04-28,124,6.6,6849,Iron Man 2
58595,Snow White and the Huntsman,en,Adventure,170000000,396600000,77.178973,2012-05-30,127,5.8,3118,Snow White and the Huntsman
102651,Maleficent,en,Fantasy,180000000,758539785,110.620647,2014-05-28,97,7,4496,Maleficent
119450,Dawn of the Planet of the Apes,en,Science Fiction,170000000,710644566,243.791743,2014-06-26,130,7.3,4410,Dawn of the Planet of the Apes
79698,The Lovers,en,Action,27000000,0,2.418535,2015-02-13,109,4.8,34,The Lovers
64686,47 Ronin,en,Drama,175000000,150962475,41.796339,2013-12-06,119,5.9,1326,47 Ronin
100402,Captain America: The Winter Soldier,en,Action,170000000,714766572,72.225265,2014-03-20,136,7.6,5764,Captain America: The Winter Soldier
10192,Shrek Forever After,en,Comedy,165000000,752600867,44.041186,2010-05-16,93,6,1959,Shrek Forever After
158852,Tomorrowland,en,Adventure,190000000,209154322,130.311355,2015-05-19,130,6.2,2846,Tomorrowland
177572,Big Hero 6,en,Adventure,165000000,652105443,203.73459,2014-10-24,102,7.8,6135,Big Hero 6
82690,Wreck-It Ralph,en,Family,165000000,471222889,62.341073,2012-11-01,108,7.1,4570,Wreck-It Ralph
5255,The Polar Express,en,Adventure,165000000,305875730,47.323228,2004-11-10,100,6.4,1474,The Polar Express
47933,Independence Day: Resurgence,en,Action,165000000,389681935,48.775723,2016-06-22,120,4.9,2491,Independence Day: Resurgence
10191,How to Train Your Dragon,en,Fantasy,165000000,494878759,67.263269,2010-03-05,98,7.5,4227,How to Train Your Dragon
296,Terminator 3: Rise of the Machines,en,Action,200000000,435000000,69.405188,2003-07-02,109,5.9,2143,Terminator 3: Rise of the Machines
118340,Guardians of the Galaxy,en,Action,170000000,773328629,481.098624,2014-07-30,121,7.9,9742,Guardians of the Galaxy
157336,Interstellar,en,Adventure,165000000,675120017,724.247784,2014-11-05,169,8.1,10867,Interstellar
27205,Inception,en,Action,160000000,825532764,167.58371,2010-07-14,148,8.1,13752,Inception
315011,シン・ゴジラ,ja,Action,15000000,77000000,9.476999,2016-07-29,120,6.5,143,Shin Godzilla
49051,The Hobbit: An Unexpected Journey,en,Adventure,250000000,1021103568,108.849621,2012-11-26,169,7,8297,The Hobbit: An Unexpected Journey
9799,The Fast and the Furious,en,Action,38000000,207283925,6.909942,2001-06-22,106,6.6,3428,The Fast and the Furious
4922,The Curious Case of Benjamin Button,en,Fantasy,150000000,333932083,60.269279,2008-11-24,166,7.3,3292,The Curious Case of Benjamin Button
49538,X-Men: First Class,en,Action,160000000,353624124,3.195174,2011-05-24,132,7.1,5181,X-Men: First Class
131634,The Hunger Games: Mockingjay - Part 2,en,Action,160000000,653428261,127.284427,2015-11-18,137,6.6,3984,The Hunger Games: Mockingjay - Part 2
27022,The Sorcerer's Apprentice,en,Fantasy,150000000,215283742,35.580815,2010-07-13,109,5.8,1470,The Sorcerer's Apprentice
503,Poseidon,en,Adventure,160000000,181674817,21.133748,2006-05-12,99,5.5,583,Poseidon
241259,Alice Through the Looking Glass,en,Fantasy,170000000,299370084,56.268916,2016-05-25,113,6.5,1725,Alice Through the Looking Glass
810,Shrek the Third,en,Fantasy,160000000,798958165,42.986467,2007-05-17,93,6,2278,Shrek the Third
68735,Warcraft,en,Action,160000000,433677183,63.148529,2016-05-25,123,6.3,2268,Warcraft
87101,Terminator Genisys,en,Science Fiction,155000000,440603537,202.042635,2015-06-23,126,5.8,3631,Terminator Genisys
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,en,Adventure,155000000,415686217,49.661984,2010-08-13,113,6.2,1514,The Chronicles of Narnia: The Voyage of the Dawn Treader
676,Pearl Harbor,en,History,140000000,449220945,34.20669,2001-05-21,183,6.6,1791,Pearl Harbor
1858,Transformers,en,Adventure,150000000,709709780,25.468493,2007-06-27,144,6.6,4040,Transformers
1966,Alexander,en,War,155000000,167298192,39.019229,2004-11-21,175,5.6,927,Alexander
675,Harry Potter and the Order of the Phoenix,en,Adventure,150000000,938212738,78.144395,2007-06-28,138,7.4,5494,Harry Potter and the Order of the Phoenix
674,Harry Potter and the Goblet of Fire,en,Adventure,150000000,895921036,101.250416,2005-11-05,157,7.5,5608,Harry Potter and the Goblet of Fire
8960,Hancock,en,Fantasy,150000000,624029371,56.758411,2008-07-01,92,6.2,2961,Hancock
6479,I Am Legend,en,Drama,150000000,585349010,70.867401,2007-12-14,101,6.9,4853,I Am Legend
